TamanioMemoriaReal; TamanioTLB; TiempoDirecciones; TiempoDatos; NumeroDeFalloDePaginas 
8; 4; 19934;2630022830; 263
16; 4; 18194;2050024570; 205
32; 4; 15914;1290026850; 129
8; 8; 17070;2590022950; 259
16; 8; 15506;2050024570; 205
32; 8; 12968;1260026940; 126
8; 16; 17070;2590022950; 259
16; 16; 13938;2050024570; 205
32; 16; 11594;1250026970; 125
8; 32; 17070;2590022950; 259
16; 32; 13764;2020024660; 202
32; 32; 9298;1250026970; 125
8; 64; 17070;2590022950; 259
16; 64; 13938;2050024570; 205
32; 64; 9472;1280026880; 128
